	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
SRX3590848	17505503	5580125	129235	9191509	0	0	0	0	0	0	0	0	0	2336040	264911	3683	31.87640481	17505503	8313994	47.49	9191509	52.51	SRX3590848_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17505503	0	20-76	61	25.60023819	75.25034019	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	17509224	881125	17509224	1323717486	1978212	1320490125	0.243810408			0.5739	0.1521	0.274
SRX3590849	9670368	1750366	399415	3519935	0	0	0	0	0	0	0	0	0	3903942	95421	1289	18.10030394	9670368	6150433	63.6	3519935	36.4	SRX3590849_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9670368	0	20-50	56	17.18377223	49.21547608	pass	pass	fail	pass	fail	warn	warn	warn	fail	warn	pass	9678036	2378009	9678036	483901800	4252639	475973877	1.638333025			0.4906	0.2704	0.239
SRX3590850	7617815	939135	97367	3267111	0	0	0	0	0	0	0	0	0	3255914	57498	790	12.32814134	7617815	4350704	57.11	3267111	42.89	SRX3590850_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7617815	0	20-50	56	18.47354395	49.18079384	pass	pass	fail	pass	fail	warn	warn	warn	fail	warn	pass	7627964	1996887	7627964	381398200	3275890	374687373	1.75953295			0.382	0.3232	0.2948
SRX3590851	9465323	1986776	30806	6431732	0	0	0	0	0	0	0	0	0	950085	64365	1559	20.99004968	9465323	3033591	32.05	6431732	67.95	SRX3590851_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9465323	0	20-50	58	19.66481483	49.21419459	pass	pass	fail	pass	fail	pass	warn	warn	fail	warn	pass	9468669	2356315	9468669	473433450	4290781	465871902	1.597172316			0.5983	0.1581	0.2436
SRX3590852	15224391	11932548	213519	913394	0	0	0	0	0	0	0	0	0	1529260	628317	7353	78.37783462	15224391	14310997	94	913394	6	SRX3590852_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15224391	0	20-76	61	32.08036716	75.27190506	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	15227705	809262	15227705	1151700458	1878272	1148690101	0.261383677			0.6576	0.0474	0.295
SRX3590853	15964649	572795	14363940	736562	0	0	0	0	0	0	0	0	0	256125	34853	374	3.587895982	15964649	15228087	95.39	736562	4.61	SRX3590853_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15964649	0	20-76	53	12.91954479	75.18104056	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	15966013	1255198	15966013	1206773833	1468970	1203742040	0.251231251			0.738	0.008	0.254
SRX3590854	11981898	3805301	313051	2005148	0	0	0	0	0	0	0	0	0	5583462	272137	2799	31.75874974	11981898	9976750	83.27	2005148	16.73	SRX3590854_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11981898	0	20-76	54	29.8723955	75.15107273	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	11984626	729410	11984626	905753415	1980390	902794327	0.326699072			0.5705	0.1859	0.2436
SRX3590855	8045812	2520937	1087551	3490124	0	0	0	0	0	0	0	0	0	864188	81391	1621	31.33228815	8045812	4555688	56.62	3490124	43.38	SRX3590855_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8045812	0	20-50	58	24.27429853	49.14117096	pass	pass	fail	pass	fail	pass	warn	warn	fail	warn	pass	8049381	1916709	8049381	402469050	4365493	395428493	1.749341223			0.6586	0.0925	0.2489
SRX3590856	8177154	3138812	799718	3464801	0	0	0	0	0	0	0	0	0	670994	100898	1931	38.38513987	8177154	4712353	57.63	3464801	42.37	SRX3590856_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8177154	0	20-50	58	25.88949316	49.09518079	pass	pass	fail	pass	fail	pass	warn	warn	fail	warn	pass	8182206	1930408	8182206	409110300	4880429	401518072	1.855789991			0.6624	0.0626	0.275
SRX3590857	8561248	3197618	212777	4327338	0	0	0	0	0	0	0	0	0	726818	94583	2114	37.34990506	8561248	4233910	49.45	4327338	50.55	SRX3590857_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8561248	0	20-50	59	27.57641231	49.07928283	pass	pass	fail	pass	fail	pass	warn	warn	fail	warn	pass	8565631	1986855	8565631	428281550	5285944	420240328	1.87755508			0.6313	0.0824	0.2864
SRX3590858	7093794	2683054	632256	3007488	0	0	0	0	0	0	0	0	0	687205	82041	1750	37.82255307	7093794	4086306	57.6	3007488	42.4	SRX3590858_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7093794	0	20-50	58	27.55222078	49.10270907	pass	pass	fail	pass	fail	pass	warn	warn	fail	warn	pass	7097956	1646992	7097956	354897800	4228868	348376665	1.83746842			0.6606	0.0783	0.2611
SRX3679615	5764082	204078	2590085	173712	0	0	0	0	2501	0	0	0	0	2783100	10204	402	3.540511742	5764082	5590370	96.99	173712	3.01	SRX3679615_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5764082	0	20-100	53	8.638881966	98.27677851	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	5784516	1856165	5784516	578451600	5612398	569100114	1.616641047	0.4796	0.016	0.5044		
SRX3679616	9844034	298581	4482719	286954	0	0	0	0	4847	0	0	0	0	4754828	15313	792	3.033116302	9844034	9557080	97.08	286954	2.92	SRX3679616_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9844034	0	20-100	53	7.627868261	98.07425208	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	9873990	3178038	9873990	987399000	8946377	972147203	1.544643756	0.4829	0.0139	0.5033		
SRX3679617	10585619	307722	4799312	359974	0	0	0	0	6011	0	0	0	0	5098611	13390	599	2.906981632	10585619	10225645	96.6	359974	3.4	SRX3679617_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10585619	0	20-100	53	7.683934226	98.06968549	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	10632298	3380575	10632298	1063229800	14953094	1041382200	2.054833301	0.4848	0.0149	0.5003		
SRX3679618	9524260	322040	4275716	322566	0	0	0	0	5624	0	0	0	0	4584156	13583	575	3.381260066	9524260	9201694	96.61	322566	3.39	SRX3679618_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9524260	0	20-100	53	8.49986256	98.0569239	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	9554172	3030948	9554172	955417200	12512009	936780546	1.950629945	0.483	0.0179	0.4991		
SRX3763712	2532178	1249051	223255	49780	0	0	0	0	4673	0	0	0	0	916429	76504	12486	49.32714051	2532178	2482398	98.03	49780	1.97	SRX3763712_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2532178	0	20-76	60	34.52253065	75.28105054	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	2534873	684070	2534873	192650348	311993	191203656	0.750941805	0.1352	0.2832	0.5816		
SRX3763713	2487904	1509890	188467	43660	0	0	0	0	6489	0	0	0	0	633366	90573	15459	60.68923881	2487904	2444244	98.25	43660	1.75	SRX3763713_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2487904	0	20-76	60	34.10698732	75.30441769	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	2489694	671726	2489694	189216744	219283	187813603	0.741552238	0.184	0.2572	0.5588		
SRX3763714	2503850	1525561	185438	44028	0	0	0	0	3468	0	0	0	0	640459	91421	13475	60.92860994	2503850	2459822	98.24	44028	1.76	SRX3763714_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2503850	0	20-76	61	34.09366224	75.29155421	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	2505508	680956	2505508	190418608	109248	189124725	0.679493991	0.167	0.2735	0.5595		
SRX3763715	2640419	1502358	336660	60315	0	0	0	0	6033	0	0	0	0	634498	84476	16079	56.89846952	2640419	2580104	97.72	60315	2.28	SRX3763715_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2640419	0	20-76	60	35.54659365	75.27827212	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	2642460	722467	2642460	200826960	205557	199370541	0.725210898	0.1659	0.2462	0.5879		
SRX3763716	2380457	1449140	163430	55306	0	0	0	0	4864	0	0	0	0	609976	82325	15416	60.87654597	2380457	2325151	97.68	55306	2.32	SRX3763716_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2380457	0	20-76	61	35.89220934	75.32635204	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	2382130	642101	2382130	181041880	86141	179875876	0.644052083	0.1608	0.2631	0.5761		
SRX3763717	2329062	1434678	143946	57442	0	0	0	0	5572	0	0	0	0	591047	80959	15418	61.5989613	2329062	2271620	97.53	57442	2.47	SRX3763717_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2329062	0	20-76	61	37.2921299	75.32620428	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	2330896	624074	2330896	177148096	86911	176002542	0.646664585	0.1662	0.2684	0.5654		
SRX3789407	14796922	3682884	453604	2545619	0	0	0	0	0	0	0	0	0	7639326	470513	4976	24.8895277	14796922	12251303	82.8	2545619	17.2	SRX3789407_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14796922	0	20-75	57	31.64052702	49.93330153	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	22401866	19801227	22401866	1680139950	12715313	837731606	50.13917704			0.561	0.3711	0.0679
SRX3789408	7550391	2217995	135726	928851	0	0	0	0	0	0	0	0	0	3985911	279039	2869	29.3758959	7550391	6621540	87.7	928851	12.3	SRX3789408_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7550391	0	20-75	58	41.25541064	51.7996721	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	10614132	9455327	10614132	796059900	4640582	430194756	45.95949928			0.5938	0.3417	0.0645
SRX383855	18644505	10057226	1270446	1039539	0	0	0	0	9899	0	0	0	0	5563051	689917	14427	53.94203815	18644505	17604966	94.42	1039539	5.58	SRX383855_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18644505	0	20-100	60	22.20279361	96.52209034	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	18907001	4870747	18907001	1890700100	56560710	1822402801	3.612275633	0.2259	0.186	0.5881		
SRX383860	17466514	13249536	853034	889622	0	0	0	0	7961	0	0	0	0	1813358	630396	22607	75.85678516	17466514	16576892	94.91	889622	5.09	SRX383860_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17466514	0	20-100	61	25.56102273	96.56972032	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	17721724	4405317	17721724	1772172400	53214559	1708994669	3.564987865	0.2249	0.1807	0.5943		
SRX383861	17897914	11932588	643114	3136737	0	0	0	0	7213	0	0	0	0	1559323	598889	20050	66.6702723	17897914	14761177	82.47	3136737	17.53	SRX383861_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17897914	0	20-100	61	25.49829127	96.0606683	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	18163862	4627979	18163862	1816386200	80476802	1726134929	4.96872697	0.2282	0.189	0.5828		
SRX383864	12937161	9090003	120836	1730415	0	0	0	0	10382	0	0	0	0	1488563	464633	32329	70.26273384	12937161	11206746	86.62	1730415	13.38	SRX383864_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12937161	0	20-106	63	31.9674985	102.7870943	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	13070845	3290780	13070845	1385509570	44585089	1333836584	3.729529346	0.2051	0.2036	0.5913		
SRX383865	12646217	8929118	1342468	1031755	0	0	0	0	11934	0	0	0	0	875740	419928	35274	70.60702817	12646217	11614462	91.84	1031755	8.16	SRX383865_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12646217	0	20-106	62	34.61364635	103.8823561	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	12761467	3264817	12761467	1352715502	38426076	1307441827	3.346873377	0.2054	0.2021	0.5925		
SRX384493	12371291	6819485	3526026	333478	0	0	0	0	5422	0	0	0	0	1385952	282206	18722	55.12347095	12371291	12037813	97.3	333478	2.7	SRX384493_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12371291	0	20-106	60	27.94006305	104.0497287	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	12482885	3415518	12482885	1323185810	16077734	1299259562	1.808230395	0.2418	0.1864	0.5718		
