	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
SRX1017134	27812047	932488	24991208	953846	0	0	0	0	0	0	0	0	0	869635	63381	1489	3.352820452	27812047	26858201	96.57	953846	3.43	SRX1017134_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27812047	0	20-51	53	6.77077548	49.85720853	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	27848980	13322133	27848980	1420297980	7021425	1387004634	2.344109931			0.2348	0.7538	0.0114
SRX1017135	22427821	728578	19901318	883807	0	0	0	0	0	0	0	0	0	862456	50297	1365	3.248545634	22427821	21544014	96.06	883807	3.94	SRX1017135_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22427821	0	20-51	53	7.259973041	49.79001304	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	22460506	10892266	22460506	1145485806	5114200	1117015962	2.485394743			0.2278	0.7596	0.0126
SRX1017136	24733988	857319	21853898	1006659	0	0	0	0	0	0	0	0	0	957459	57140	1513	3.46615758	24733988	23727329	95.93	1006659	4.07	SRX1017136_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24733988	0	20-51	53	7.285022379	49.75860448	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	24771115	11990300	24771115	1263326865	6255421	1231118962	2.549451286			0.2306	0.7567	0.0127
SRX1017137	26270752	950261	23135471	1087009	0	0	0	0	0	0	0	0	0	1035957	60827	1227	3.617182333	26270752	25183743	95.86	1087009	4.14	SRX1017137_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26270752	0	20-51	53	7.325463806	49.78546948	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	26311102	12712448	26311102	1341866202	5903032	1308316769	2.500207021			0.2337	0.7535	0.0128
SRX1017138	21462417	733544	19043601	826003	0	0	0	0	0	0	0	0	0	812414	45938	917	3.417807044	21462417	20636414	96.15	826003	3.85	SRX1017138_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21462417	0	20-51	53	7.32886597	49.79593985	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	21511874	10524449	21511874	1097105574	4783838	1069157016	2.547481178			0.2289	0.7595	0.0117
SRX1118953	57442127	335991	13153681	30127039	0	0	0	0	650462	0	0	0	0	13156891	17669	394	0.584920889	57442127	27315088	47.55	30127039	52.45	SRX1118953_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57442127	0	20-100	54	12.17486538	88.42017657	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	61736398	27804566	61736398	6173639800	567632692	5224125274	15.38014132	0.4977	0.0073	0.495		
SRX1118956	54960865	262654	10757016	32583332	0	0	0	0	585587	0	0	0	0	10757076	14852	348	0.47789277	54960865	22377533	40.72	32583332	59.28	SRX1118956_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54960865	0	20-100	53	13.98478828	88.55837309	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	59611904	26672253	59611904	5961190400	594199664	5010485860	15.94823309	0.4943	0.0067	0.499		
SRX1119735	54899919	130634	14910365	23523676	0	0	0	0	1837139	0	0	0	0	14489638	8327	140	0.237949349	54899919	31376243	57.15	23523676	42.85	SRX1119735_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54899919	0	20-100	52	12.12795717	85.72823541	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	59548067	30314856	59548067	5954806700	654093202	4763951941	19.99821017	0.504	0.0035	0.4925		
SRX1120676	50423005	198027	10550442	28483660	0	0	0	0	756744	0	0	0	0	10423147	10690	295	0.392731453	50423005	21939345	43.51	28483660	56.49	SRX1120676_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50423005	0	20-100	54	15.08075735	87.83992049	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	55231397	23279118	55231397	5523139700	650558043	4544021436	17.72756651	0.4994	0.005	0.4956		
SRX1140450	5362732	1071511	2608213	246613	0	0	0	0	0	0	0	0	0	1301274	134118	1003	19.98069268	5362732	5116119	95.4	246613	4.6	SRX1140450_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5362732	0	20-51	54	18.62521726	50.31590932	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	5367285	509013	5367285	270888096	415112	269832058	0.389842897			0.3012	0.642	0.0568
SRX1140451	5767884	1620168	1076343	383107	0	0	0	0	0	0	0	0	0	2462019	224325	1922	28.08946921	5767884	5384777	93.36	383107	6.64	SRX1140451_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5767884	0	20-51	56	24.08813808	50.25860315	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	5775328	595691	5775328	291213127	558783	289887625	0.455165608			0.4438	0.4632	0.093
SRX1140452	5901252	885715	3149814	72973	0	0	0	0	0	0	0	0	0	1668420	123478	852	15.0089337	5901252	5828279	98.76	72973	1.24	SRX1140452_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5901252	0	20-51	54	16.43637604	50.26255734	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	5904702	578734	5904702	298049472	704253	296614886	0.481324792			0.3177	0.6253	0.057
SRX1140453	7871157	1270185	3429836	142981	0	0	0	0	0	0	0	0	0	2834277	192572	1306	16.13720829	7871157	7728176	98.18	142981	1.82	SRX1140453_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7871157	0	20-51	54	16.83255056	50.21044327	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	7876096	797816	7876096	397323828	1101224	395215510	0.53062964			0.3653	0.5635	0.0711
SRX1140454	5329690	640323	3740162	38858	0	0	0	0	0	0	0	0	0	843930	65724	693	12.01426349	5329690	5290832	99.27	38858	0.73	SRX1140454_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5329690	0	20-51	53	11.27582731	50.26660931	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	5333081	487228	5333081	269061932	550227	267908000	0.428872264			0.2176	0.7554	0.027
SRX1140455	5883959	782693	3837543	41186	0	0	0	0	0	0	0	0	0	1134615	87069	853	13.30214911	5883959	5842773	99.3	41186	0.7	SRX1140455_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5883959	0	20-51	53	11.67359676	50.25953257	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	5887971	532118	5887971	297001658	604416	295726539	0.4293306			0.2302	0.736	0.0338
SRX1140456	6595265	500418	4590772	51131	0	0	0	0	0	0	0	0	0	1393365	59036	543	7.58753439	6595265	6544134	99.22	51131	0.78	SRX1140456_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6595265	0	20-51	52	9.362119108	50.25774173	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	6598795	639222	6598795	332917172	655914	331466317	0.43580059			0.2036	0.7682	0.0282
SRX1140457	6646235	545844	4527731	54835	0	0	0	0	0	0	0	0	0	1456175	61071	579	8.212830272	6646235	6591400	99.17	54835	0.83	SRX1140457_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6646235	0	20-51	52	9.527217004	50.25563526	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	6647803	632115	6647803	335383037	573948	334011463	0.408957475			0.2109	0.7657	0.0233
SRX1156127	4643683	3420689	9590	66870	0	0	0	0	2790	0	0	0	0	901368	239562	2814	73.66327546	4643683	4576813	98.56	66870	1.44	SRX1156127_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4643683	0	20-101	63	31.10826207	98.79225606	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	4652733	1416516	4652733	469926033	2343611	462403335	1.600825975	0.0576	0.3625	0.5798		
SRX1156135	4207680	3095855	4555	57915	0	0	0	0	3189	0	0	0	0	814431	229291	2444	73.57629382	4207680	4149765	98.62	57915	1.38	SRX1156135_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4207680	0	20-101	62	30.51793233	98.63268785	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	4217224	1194267	4217224	425939624	615959	420314303	1.320685065	0.0544	0.3697	0.5758		
SRX1156136	4686294	3446313	6495	66697	0	0	0	0	3675	0	0	0	0	924801	234666	3647	73.54026444	4686294	4619597	98.58	66697	1.42	SRX1156136_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4686294	0	20-101	62	29.8562319	98.67770951	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	4696084	1337305	4696084	474304484	694166	468201034	1.286821062	0.0617	0.4351	0.5032		
SRX1156137	3249114	2391785	4684	52586	0	0	0	0	2701	0	0	0	0	623286	171472	2600	73.61345278	3249114	3196528	98.38	52586	1.62	SRX1156137_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3249114	0	20-101	62	32.7329458	98.76806231	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	3255409	1007566	3255409	328796309	1640764	323433902	1.63092068	0.0578	0.4399	0.5023		
SRX1156138	3642592	2584928	2928	55977	0	0	0	0	2719	0	0	0	0	801810	192202	2028	70.96397291	3642592	3586615	98.46	55977	1.54	SRX1156138_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3642592	0	20-101	62	32.32005219	98.65225477	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	3649117	1041256	3649117	368560817	543008	363595060	1.347337202	0.0646	0.3542	0.5812		
SRX1156140	4746563	3372874	6044	122155	0	0	0	0	3749	0	0	0	0	994807	244308	2626	71.05929069	4746563	4624408	97.43	122155	2.57	SRX1156140_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4746563	0	20-101	62	30.2279076	98.57764197	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	4756758	1379794	4756758	480432558	695461	473731270	1.394844685	0.0587	0.3522	0.5891		
SRX1273291	6187196	4223552	2378	198342	0	0	0	0	3301	0	0	0	0	1425933	321653	12037	68.2627801	6187196	5988854	96.79	198342	3.21	SRX1273291_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6187196	0	20-101	61	32.47006902	95.48913337	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass	6280108	1480170	6280108	634290908	31254443	598599010	5.62705496	0.0947	0.402	0.5033		
SRX1273292	5437635	3576467	2675	229660	0	0	0	0	2875	0	0	0	0	1322997	291357	11604	65.77247278	5437635	5207975	95.78	229660	4.22	SRX1273292_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5437635	0	20-101	61	35.11932776	95.00543711	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	5517296	1596495	5517296	557246896	28675283	524217389	5.927266215	0.0968	0.3998	0.5033		
SRX1273293	6015736	3051952	21470	302018	0	0	0	0	3573	0	0	0	0	2413621	217242	5860	50.73281141	6015736	5713718	94.98	302018	5.02	SRX1273293_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6015736	0	20-101	59	25.76889128	95.21700121	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	6017194	1975333	6017194	607736594	23813130	576818621	5.087396959	0.1974	0.2735	0.5291		
SRX1273294	6020473	2987872	8009	295948	0	0	0	0	2692	0	0	0	0	2459419	258839	7694	49.62852586	6020473	5724525	95.08	295948	4.92	SRX1273294_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6020473	0	20-101	59	26.18143415	95.91730849	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	6106029	1972779	6106029	616708929	28707218	582300887	5.579300117	0.217	0.2884	0.4945		
SRX1273295	5471758	3042495	17193	188039	0	0	0	0	1675	0	0	0	0	1992607	223079	6670	55.60361039	5471758	5283719	96.56	188039	3.44	SRX1273295_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5471758	0	20-101	60	26.88614817	95.21907475	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	5473158	1379961	5473158	552788958	10380639	537803567	2.710870176	0.1928	0.2992	0.508		
SRX127959	39950	0	0	39950	0	0	0	0	0	0	0	0	0	0	0	0	0	39950	0	0	39950	100	SRX127959_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39950	0	21-339	56	51.61201502	113.8645807	pass	pass		pass	fail	warn	pass	warn	warn	fail	pass	40018	636	40018	4787641	217947	4568921	4.568429421					
SRX127960	25931	0	0	25931	0	0	0	0	0	0	0	0	0	0	0	0	0	25931	0	0	25931	100	SRX127960_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25931	0	21-668	58	74.74451429	179.9218696	pass	pass		pass	fail	warn	warn	warn	pass	fail	pass	25971	14137	25971	5046498	345358	4672494	7.411159184					
SRX1352980	23548836	2042892	17632139	2309315	0	0	0	0	714	0	0	0	0	1444060	117828	1888	8.67512942	23548836	21239521	90.19	2309315	9.81	SRX1352980_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23548836	0	20-95	53	8.486779256	89.96434618	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	23866671	7847605	23866671	2267333745	82062864	2164929813	4.516491329	0.8737	0.014	0.1123		
SRX1352981	21025525	4145813	11907113	3555100	0	0	0	0	404	0	0	0	0	1149384	263091	4620	19.71799991	21025525	17470425	83.09	3555100	16.91	SRX1352981_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21025525	0	20-95	54	11.34180695	90.15929467	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	21244517	6668256	21244517	2018229115	66526607	1941408360	3.806344603	0.7844	0.0153	0.2003		
SRX1352982	14988868	1423349	10331098	2168623	0	0	0	0	395	0	0	0	0	996261	66872	2270	9.496040662	14988868	12820245	85.53	2168623	14.47	SRX1352982_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14988868	0	20-95	54	9.502397821	90.12286478	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	15131449	5421451	15131449	1437487655	49625273	1364148011	5.101932093	0.8496	0.03	0.1204		
SRX1411278	5650780	2785171	31601	193670	0	0	0	0	2643	0	0	0	0	2395531	236819	5345	49.28825755	5650780	5457110	96.57	193670	3.43	SRX1411278_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5650780	0	20-101	60	25.31411161	96.38774222	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	5680160	1478742	5680160	573696160	20581012	548280030	4.430242308	0.1198	0.2982	0.582		
SRX1411279	4376870	2589424	23173	146769	0	0	0	0	3016	0	0	0	0	1390968	218424	5096	59.16154695	4376870	4230101	96.65	146769	3.35	SRX1411279_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4376870	0	20-101	61	26.81890508	98.5972149	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	4400337	1184184	4400337	444434037	15452559	424260348	4.539186318	0.1526	0.2803	0.5671		
SRX1411280	4764375	2348653	13583	164337	0	0	0	0	2565	0	0	0	0	2030064	200778	4395	49.29614063	4764375	4600038	96.55	164337	3.45	SRX1411280_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4764375	0	20-101	61	25.37713151	98.77340176	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	4790540	1257084	4790540	483844540	17870365	461676160	4.581715441	0.1173	0.3033	0.5794		
SRX1411281	6064429	3070224	12158	209618	0	0	0	0	2875	0	0	0	0	2490367	273918	5269	50.6267614	6064429	5854811	96.54	209618	3.46	SRX1411281_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6064429	0	20-101	60	23.7619675	96.29575942	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	6098077	1603117	6098077	615905777	3954206	606446912	1.535764942	0.1129	0.3146	0.5724		
SRX1411282	5953233	2855506	46952	193601	0	0	0	0	4504	0	0	0	0	2590978	256285	5407	47.96563481	5953233	5759632	96.75	193601	3.25	SRX1411282_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5953233	0	20-101	61	23.92745794	98.68589655	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	5982366	1579472	5982366	604218966	20590050	577655419	4.396344454	0.1328	0.2952	0.572		
SRX1411283	4314924	2043837	17647	143908	0	0	0	0	3051	0	0	0	0	1916740	185991	3750	47.36669754	4314924	4171016	96.66	143908	3.34	SRX1411283_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4314924	0	20-101	60	27.45325659	96.34178864	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	4337444	1163049	4337444	438081844	15246921	418459785	4.479085191	0.1322	0.2972	0.5706		
SRX1411284	7874976	4057098	37077	266893	0	0	0	0	5637	0	0	0	0	3150560	350721	6990	51.51886177	7874976	7608083	96.61	266893	3.39	SRX1411284_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7874976	0	20-101	61	24.01782391	98.6728757	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	7917513	2031873	7917513	799668813	28165920	763633964	4.506221628	0.1351	0.2987	0.5662		
SRX1411285	4091309	2195898	9752	140974	0	0	0	0	2530	0	0	0	0	1553911	184015	4229	53.67225991	4091309	3950335	96.55	140974	3.45	SRX1411285_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4091309	0	20-101	61	26.93749281	98.78360202	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	4114949	1056687	4114949	415609849	2965878	408979586	1.595309403	0.1152	0.3137	0.5711		
SRX1411286	6280985	3944259	47615	246488	0	0	0	0	4184	0	0	0	0	1704332	326505	7602	62.79682247	6280985	6034497	96.08	246488	3.92	SRX1411286_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6280985	0	20-101	61	26.40780387	96.26275083	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	6317252	1700751	6317252	638042452	4220420	627555450	1.643621356	0.1461	0.276	0.5779		
SRX1411287	10195766	4700208	26695	442481	0	0	0	0	4652	0	0	0	0	4603107	410780	7843	46.09960644	10195766	9753285	95.66	442481	4.34	SRX1411287_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10195766	0	20-101	60	22.83066531	95.85395349	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	10265246	2655843	10265246	1036789846	44120742	983885213	5.102734484	0.1392	0.2862	0.5746		
SRX1411288	5377932	2488180	11663	223563	0	0	0	0	3767	0	0	0	0	2429914	216408	4437	46.2664831	5377932	5154369	95.84	223563	4.16	SRX1411288_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5377932	0	20-101	61	25.77456302	98.60258218	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	5409834	1460793	5409834	546393234	20377782	520219367	4.79029852	0.1391	0.2872	0.5737		
SRX1411289	3815547	1858687	30839	148420	0	0	0	0	2419	0	0	0	0	1612621	159124	3437	48.71351342	3815547	3667127	96.11	148420	3.89	SRX1411289_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3815547	0	20-101	60	28.77540575	96.3865527	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	3834850	1014883	3834850	387319850	2564793	381051748	1.618327075	0.1274	0.2981	0.5745		
SRX1491234	2193640	48663	1966037	116207	0	0	0	0	5316	0	0	0	0	51151	6197	69	2.218367645	2193640	2077433	94.7	116207	5.3	SRX1491234_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2193640	0	20-151	52	4.476896847	126.303806	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	2193662	547908	2193662	278459259	442	277314829	0.410986513	0.9663	0.0012	0.0324		
SRX1491235	1699866	32474	1582251	29999	0	0	0	0	6747	0	0	0	0	43813	4536	46	1.910385877	1699866	1669867	98.24	29999	1.76	SRX1491235_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1699866	0	35-151	52	3.618402862	130.7338849	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	1699875	206047	1699875	222220710	546	221976051	0.110097299	0.9862	0.0015	0.0123		
SRX1491236	1320636	28935	1190046	67849	0	0	0	0	4348	0	0	0	0	25351	4062	45	2.190989796	1320636	1252787	94.86	67849	5.14	SRX1491236_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1320636	0	27-151	52	4.85826526	130.3408153	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	1320662	163132	1320662	172562547	434	172164231	0.230824131	0.9685	0.0017	0.0298		
SRX1491238	2047331	42790	1808768	150789	0	0	0	0	8534	0	0	0	0	31816	4574	60	2.090038201	2047331	1896542	92.63	150789	7.37	SRX1491238_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2047331	0	23-151	51	5.600998088	131.2066114	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	2047360	220952	2047360	268608228	802	268075810	0.198213586	0.9709	0.0014	0.0277		
SRX1491239	3169905	64391	2975667	54887	0	0	0	0	19389	0	0	0	0	48134	7347	90	2.031322705	3169905	3115018	98.27	54887	1.73	SRX1491239_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3169905	0	18-151	52	2.278049342	129.2074188	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	3169914	1545172	3169914	412812454	478	410903528	0.462419673	0.9733	0.005	0.0217		
SRX1516139	5301023	3502226	9308	111177	0	0	0	0	24315	0	0	0	0	1409088	237990	6919	66.06698367	5301023	5189846	97.9	111177	2.1	SRX1516139_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5301023	0	20-75	61	29.18142079	73.07520152	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	5317524	303627	5317524	393466066	510131	392262934	0.30577783	0.0754	0.3776	0.5471		
SRX1516140	4938835	3279534	13264	138023	0	0	0	0	16703	0	0	0	0	1265940	217829	7542	66.40298775	4938835	4800812	97.21	138023	2.79	SRX1516140_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4938835	0	20-75	61	29.12215768	73.29281703	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	4947836	260347	4947836	367189584	403397	366289230	0.2452014	0.0723	0.376	0.5517		
SRX1516141	3321399	2288927	3496	61457	0	0	0	0	10830	0	0	0	0	806295	145132	5262	68.91454474	3321399	3259942	98.15	61457	1.85	SRX1516141_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3321399	0	20-75	62	33.71299506	73.31851006	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	3327032	332620	3327032	246803963	460337	245832464	0.393631848	0.0721	0.3857	0.5422		
SRX1516142	4584146	3177162	10916	132593	0	0	0	0	6217	0	0	0	0	1049818	198266	9174	69.30760931	4584146	4451553	97.11	132593	2.89	SRX1516142_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4584146	0	20-75	61	30.07627563	73.44148856	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	4592043	224079	4592043	342033230	328496	341365045	0.195356749	0.0694	0.3816	0.5491		
SRX156386	124835576	52597	6185794	77195509	0	0	0	0	24516	0	0	0	0	41372495	4442	223	0.042133021	124835576	47640067	38.16	77195509	61.84	SRX156386_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	124835576	0	20-76	53	9.437648752	72.94292736	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	136491816	42047100	136491816	10373378016	541690587	9758305333	5.92933837	0.2351	0.0048	0.7601		
SRX1567506	34052415	21727087	254122	5686614	0	0	0	0	0	0	0	0	0	5435339	935599	13654	63.8048344	34052415	28365801	83.3	5686614	16.7	SRX1567506_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34052415	0	20-101	58	22.76568601	97.25906371	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	34073527	8271637	34073527	3441426227	88660174	3336028936	3.06260498			0.6301	0.0705	0.2994
SRX157659	37296371	9288804	7309934	1125019	0	0	0	0	9864	0	0	0	0	18793148	390669	378933	24.90538289	37296371	36171352	96.98	1125019	3.02	SRX157659_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37296371	0	20-51	57	17.03616522	49.98318415	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	37718677	10190780	37718677	1923652527	38775400	1870511146	2.762524949	0.3419	0.105	0.5531		
SRX157660	8770409	484245	3642024	678532	0	0	0	0	76010	0	0	0	0	3839239	43918	6441	5.521350259	8770409	8091877	92.26	678532	7.74	SRX157660_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8770409	0	20-50	53	35.72255773	43.22475816	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	10321697	2905708	10321697	516084850	105757739	399915564	22.50972607	0.5946	0.022	0.3834		
SRX157661	31452990	1141922	14104601	713037	0	0	0	0	18894	0	0	0	0	15339489	64174	70873	3.630567396	31452990	30739953	97.73	713037	2.27	SRX157661_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31452990	0	20-51	53	6.838438658	50.02096437	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	31927353	10214003	31927353	1628295003	18954494	1587583061	2.500280473	0.4749	0.0153	0.5098		
SRX157683	130965597	7620985	86175222	20360272	0	0	0	0	0	0	0	0	0	14250466	2553801	4851	5.819073997	130965597	110605325	84.45	20360272	15.55	SRX157683_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	130965597	0	20-50	53	3.042263897	49.23216985	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	131130793	47806153	131130793	6556539650	50445137	6448745128	1.644076415			0.1281	0.8292	0.0427
SRX158075	26645471	2931232	9624513	718898	0	0	0	0	71715	0	0	0	0	13046373	132146	120594	11.0008639	26645471	25926573	97.3	718898	2.7	SRX158075_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26645471	0	20-51	55	11.64376184	50.27035375	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	27000358	8182252	27000358	1377018258	9520540	1352655995	1.769204065	0.4327	0.05	0.5173		
SRX1630362	32510014	2599096	10413199	5990346	0	0	0	0	40013	0	0	0	0	13321248	144397	1715	7.994755093	32510014	26519668	81.57	5990346	18.43	SRX1630362_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32510014	0	20-100	54	20.66901532	93.17167258	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	33966054	11962285	33966054	3396605400	174745060	3143050353	7.464954481	0.4398	0.0466	0.5136		
SRX1630372	35171035	2540468	11939406	5913169	0	0	0	0	55657	0	0	0	0	14585374	135677	1284	7.223182372	35171035	29257866	83.19	5913169	16.81	SRX1630372_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35171035	0	20-100	54	20.83908944	91.07964272	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	36617171	12765432	36617171	3661717100	361283850	3225257575	11.91953155	0.4544	0.0464	0.4992		
